beta,T,lnZ,E_avg,S,F,Cv
12.832385321819148,0.07792783453125282,4.927259030810457,5.349383519732231e-06,4.927327676161016,-0.3839706264456184,0.0008806019025087153
13.946026979207762,0.07170500971286715,4.927255440447816,1.7567199595553958e-06,4.927279939711767,-0.3533088992150882,0.0003415315319443834
15.156314560948596,0.0659791003926889,4.927254208428229,5.237725738617532e-07,4.927262146890117,-0.325095800078185,0.00012026053042291096
16.47163535628497,0.06071042603662524,4.9272538255968685,1.4059851567206904e-07,4.92725614148435,-0.2991356789425775,3.8124845502807134e-05
17.90110453430942,0.05586247474748783,4.927253718783507,3.3671217354470024e-08,4.9272543215354885,-0.27524858644000916,1.0782770232253823e-05
19.45462831205777,0.05140165023765633,4.927253692269214,7.123231144162294e-09,4.927253830849028,-0.2532689709222229,2.6938806740872674e-06
21.142972604562864,0.04729703900690814,4.927253686471684,1.3169321585621372e-09,4.927253714315545,-0.23304450980598318,5.881162223886348e-07
22.97783763261279,0.04352019611195637,4.927253685367043,2.1029931482160243e-10,4.927253690199266,-0.21443504668053348,1.1091572105215163e-07
24.971939005245343,0.040044948043079495,4.927253685185771,2.8638595640984128e-11,4.927253685900932,-0.19731161781833617,1.790567694115452e-08
27.139095838879612,0.03684721134177929,4.927253685160475,3.279235173577786e-12,4.927253685249471,-0.18155555787166888,2.4868995751603502e-09
29.49432652375071,0.033904825702486756,4.927253685157516,3.131807589314859e-13,4.927253685166753,-0.16705767738720115,2.8421709430404e-10
32.05395280130816,0.031197400401712358,4.92725368515723,2.2167086230035948e-14,4.9272536851579405,-0.15371750609666285,0.0
34.83571287383412,0.028706172990394643,4.927253685157207,-0.0,4.927253685157207,-0.14144259665368228,0.0
37.858884330131296,0.02641387927018535,4.927253685157205,-0.0,4.927253685157205,-0.13014788397331828,0.0
41.14441773915411,0.024304633652607842,4.927253685157205,-0.0,4.927253685157205,-0.11975509573120781,0.0
44.715081837387835,0.022363819071977303,4.927253685157205,-0.0,4.927253685157205,-0.11019220993658915,0.0
48.59562131612258,0.02057798568918039,4.927253685157205,-0.0,4.927253685157205,-0.10139295582012631,0.0
52.81292830208859,0.018934757684331113,4.927253685157205,-0.0,4.927253685157205,-0.09329635457767918,0.0
57.3962287198122,0.017422747492376916,4.927253685157205,-0.0,4.927253685157205,-0.08584629678737762,0.0
62.377284827183324,0.01603147688730772,4.927253685157205,-0.0,4.927253685157205,-0.07899115357149952,0.0
67.79061532780598,0.014751304368081544,4.927253685157205,-0.0,4.927253685157205,-0.07268341880850536,0.0
73.67373458550831,0.013573358343051891,4.927253685157205,-0.0,4.927253685157205,-0.06687937991576173,0.0
80.06741259876978,0.012489475649864634,4.927253685157205,-0.0,4.927253685157205,-0.0615388149214767,0.0
87.01595753668553,0.011492144984767931,4.927253685157205,-0.0,4.927253685157205,-0.05662471372655869,0.0
94.56752279444333,0.01057445484930011,4.927253685157205,-0.0,4.927253685157205,-0.052103021624742445,0.0
102.77444069620475,0.009730045653626486,4.927253685157205,-0.0,4.927253685157205,-0.04794240330357895,0.0
111.69358515795207,0.008953065644601207,4.927253685157205,-0.0,4.927253685157205,-0.04411402569081566,0.0
121.38676582355129,0.008238130353135921,4.927253685157205,-0.0,4.927253685157205,-0.0405913581412944,0.0
131.9211564053966,0.00758028527984532,4.927253685157205,-0.0,4.927253685157205,-0.03734998857966077,0.0
143.36976019803114,0.00697497156038162,4.927253685157205,-0.0,4.927253685157205,-0.03436745432475704,0.0
155.81191599075538,0.006417994372518543,4.927253685157205,-0.0,4.927253685157205,-0.031623086423310194,0.0
169.33384788519479,0.005905493866046093,4.927253685157205,-0.0,4.927253685157205,-0.029097866414148882,0.0
184.0292628280594,0.005433918414020444,4.927253685157205,-0.0,4.927253685157205,-0.02677429453032583,0.0
200.00000000000003,0.004999999999999999,4.927253685157205,-0.0,4.927253685157205,-0.02463626842578602,0.0
