name,hubtype,quality,distance,n_points,vflat_obs,evflat_obs,vflat_bst,tf_err_pct,rms_km_s,rms_pct,chi2_red,f_dark_r5,f_dark_r10,f_dark_r20
UGC11455,Scd,1,78.6000,36,269.4000,7.4000,250.5109,7.0115,19.6873,7.3078,8.2604,0.1958,0.1672,0.3171
UGC11557,Sdm,2,24.2000,12,0.0000,0.0000,115.0228,inf,26.8346,inf,12.5686,0.5510,0.6609,nan
UGC11820,Sm,1,18.1000,10,0.0000,0.0000,95.3746,inf,7.5309,inf,33.4943,0.8129,0.8058,nan
UGC11914,Sab,1,16.9000,65,288.1000,10.5000,216.2722,24.9316,48.1259,16.7046,152.6038,0.0496,nan,nan
UGC12506,Scd,2,100.6000,31,234.0000,16.8000,226.0486,3.3980,51.0460,21.8145,14.6783,0.4097,0.4443,0.5375
UGC12632,Sm,1,9.7700,15,71.7000,2.8000,85.7037,19.5310,6.3767,8.8936,4.6867,0.8170,0.8138,nan
UGC12732,Sm,1,13.2000,16,0.0000,0.0000,105.6309,inf,6.7449,inf,3.4073,0.8003,0.8271,nan
UGCA281,BCD,3,5.6800,7,0.0000,0.0000,31.5003,inf,1.4737,inf,0.8531,nan,nan,nan
UGCA442,Sm,1,4.3500,8,56.4000,2.1000,53.1068,5.8391,2.6364,4.6744,2.8150,0.8385,nan,nan
UGCA444,Im,2,0.9800,36,37.0000,4.8000,37.6285,1.6987,3.6298,9.8104,1.1391,nan,nan,nan
